"grant_number","SEP","court_cases"
"1550336",1,0
"9521050",1,0
"20150207916",0,0
"H09191454",0,0
"107077392",1,0
"266460",0,0
"2679223",0,0
"7568095",1,0
"20080301788",1,0
"20160001166",0,0
"69938211",0,0
"20020186886",0,0
"9065513",1,0
"2725900",0,0
"20090069029",1,0
"2021520669",0,0
"9794244",0,0
"20210099535",0,0
"20170055306",1,0
"10244009",1,0
"1196842",0,0
"8102813",0,0
"101116145",0,0
"3706352",1,0
"9075769",0,0
"20090003062",1,0
"20120240127",0,0
"20160246869",0,0
"2127002",1,0
"112969236",1,0
"100492352",1,0
"9189779",1,0
"20020137538",1,0
"4624565",1,0
"20190116939",0,0
"105745786",1,0
"20150326860",0,0
"3081035",0,0
"2009023850",0,0
"0181033",0,0
"20200077363",1,0
"1692022",1,0
"20003035",0,0
"3207654",0,0
"1986376",1,0
"2199720",0,0
"10122687",1,0
"20150052352",1,0
"20170250979",1,0
"7287079",1,0
"2044546",0,0
"2012109003",0,0
"105705961",1,0
"20090298529",0,0
"20150059155",0,0
"2000024140",0,0
"20200314176",1,0
"2814223",0,0
"6575318",1,0
"2891339",0,0
"20200067998",1,0
"2004508772",1,0
"20170236078",1,0
"2019199784",1,0
"3624477",1,0
"1645070",1,0
"20020097246",1,0
"20190349228",1,0
"2016099813",0,0
"2136150",0,0
"2021168762",1,0
"8853532",0,0
"2180550",0,0
"102792308",0,0
"1927256",1,0
"201910073",0,0
"3850231",1,0
"4813006",1,0
"20190373057",0,0
"50307704",0,0
"20120096564",0,0
"1985003585",0,0
"4250788",1,0
"107106938",0,0
"2016151974",0,0
"10887398",1,0
"10387869",1,0
"067874",1,0
"E555567",1,0
"2369827",0,0
"100978683",1,0
"2001052440",0,0
"2661673",1,0
"20110028172",1,0
"10382843",1,0
"20180174168",1,0
"1680727",1,0
"8601358",0,0
"20110280315",1,0
"8401101",0,0
"079168",1,0
"1134762",1,0
"2013117962",1,0
"0312083",1,0
"20100235486",1,0
"2637337",1,0
"20070056011",1,0
"2013506347",1,0
"2485163",0,0
"2018083151",0,0
"602005016008",1,0
"102308106",0,0
"3442141",0,0
"10009600",1,0
"20140067755",0,0
"9413543",1,0
"9544362",1,0
"20050117553",1,0
"20210176343",0,0
"101091653",1,0
"1878032",1,0
"2417634",1,0
