"case_no","patents"
"1:10-cv-01853","9420075|9723117|9811184"
"1:11-cv-00962",""
"2022-1054","8946251"
"1:22-cv-04337","D608978"
"3:20-cv-01001","10900034"
"2:15-cv-00210","7574000|7203285|RE43324|8130926|5790798|7774854|8204056|6510220|RE43386|7376735|7852994"
"3:11-cv-00619","5388198"
"1:23-cv-14045","8315203"
"1:22-cv-04490","6952645|7400970|6904359"
"22-203","7149989|7260803"
"4:20-cv-01991","9794621|8132220|9124945|9407969|9392339"
"3:16-cv-00741",""
"2022-1114","6658400|5592375"
"2018-1020","7346766|6370646|6728877"
"1:16-cv-00936","6023145|6785085"
"6:20-cv-00231","593944|580353|579868"
"2:11-cv-00406","7417397"
"1:21-cv-00055","7808483"
"6:11-cv-01489","7406663|7500201"
"3:12-cv-00795","D672117"
"2:13-cv-00888","7894837|7292870"
"3:14-cv-06220","6212662"
"2022-1108","5425875"
"3:19-cv-01186","9616049|8455527|8648106|9320712"
"1:14-cv-06280","7566790|7432372|8173002|7340957|7985340|7910335|8039642|7537377|7575863|8030066|7289217|7582461|7820824|7351578|7897738|8039234|8083068|7407798|7622253|7368296|7259020|7695642|7981667|7572631|7498164|7295316|8158801|7332280|8114636|7727752|7446202|7393632|7452712|7432084|7790893|8153401"
"2:17-cv-00342","6340235|6637909"
"3:16-cv-00637","6985748"
"2:15-cv-01413","7209401|6853259|7068557"
"6:13-cv-00398",""
"2018-2296","8218481|7746916|7809373|7881236|7768965"
"2019-2338","8424752"
"4:22-cv-02453","10145523|10378707"
"2022-1355","6067525"
"1:12-cv-00274","5616399|5567087"
"1:13-cv-01781","6245968|7250561|6268549"
"1:20-cv-04163","D690749"
"8:16-cv-02055","6659395|7100866"
"2:22-cv-00450","8783458|8746449|10139861|9170611"
"1:17-cv-00061","RE43008"
"1:19-cv-00753","10726822"
"1:19-cv-01620","7787411"
"1:16-cv-09915","6202150"
"4:23-cv-00724","6289434"
"2:11-cv-09370","6394902|6932701|7131908|D503951|8753189|6702675|7384334|7303469|7513827|6375570"
"2015-1434","7649844"
"1:15-cv-02135","5786748"
"3:11-cv-03450","RE42755"
"1:22-cv-00621","9592273|9572867|7056886|9555079|9545435|7847061|9592274|9060992|9539310|9545434"
"1:12-cv-07806","7388083|7053191|7485707"
"2014-1321","7352138|7038399"
"1:14-cv-00833","9261365"
"2:12-cv-00593","7885981|8352981|8396848"
"1:11-cv-00175","10982799"
"5:11-cv-03388","7400970"
"23-1441","5625776|7606739"
"1:17-cv-00034","9161908"
"1:20-cv-00090","6740669"
"4:15-cv-00920","5895468|6182078"
"4:10-cv-01004",""
"2:10-cv-01298","9792409|10664571"
"8:21-cv-00274","6642552"
"6:13-cv-00129","6199048|8131597"
"1:11-cv-04803","7588786"
"6:15-cv-00414","10638843|9375088"
"2014-1435","6711204"
"1:16-cv-23536","5686738"
"1:14-cv-00788","9596550"
"2:16-cv-01074","9567762"
"1:17-cv-00549","6560274|5485511|6400814"
"6:13-cv-00690","5412730"
"2:16-cv-00914","9883752|5863097|2855023|8776285|4091563"
"1:22-cv-00801","6575980"
"3:11-cv-03869","6756913"
"6:20-cv-00064","6009553|5687196"
"1:21-cv-01553","9821938"
"2:14-cv-02564","6638268"
"2:13-cv-01012","7277010"
"2017-2627","9852004"
"2015-1550","8312991|8328008"
"2018-2117","6563813"
"6:20-cv-00713","6435686"
"2:10-cv-13065","5186646"
"2:11-cv-00224","8813840"
"1:14-cv-01181","5116139"
"2020-1887","3858095|9927796"
"4:13-cv-05174","9918196|9549388|9888353"
"2:10-cv-00630","5845070"
"4:19-cv-00131","7772209"
"2:19-cv-00060","10600046|9189787|9240009|8118218|8448855"
"3:10-cv-04201","5625776|7606739"
"2:18-cv-08515","7757175|8650493|8495585|8984491|8327271|8392890"
"2:16-cv-00447","5642379|5506866"
"2013-1663",""
"2:12-cv-00658","6952450"
"1:18-cv-10749","5847170|7241907"
"2:15-cv-00333",""
"0:15-cv-03028","9481265"
"2:16-cv-00480","6266674"
"6:21-cv-00372","8424752|8651369|8936190"
"6:14-cv-00034","7538258|5455169|5795963|6818448"
"1:21-cv-00760","9893215"
"2018-1759","9126119"
"2:11-cv-00512","8099614|7685439"
"1:18-cv-12639","5817364"
"6:10-cv-00577","D671376"
"4:12-cv-01488","10117386"
"3:19-cv-00310","9911325"
"5:17-cv-06437","6574051"
"2:11-cv-00163","7530945"
"2018-1886","9704174"
"14-742","8099420|7945544|5978791|6928442|7802310"
"16-341","7853881"
"6:15-cv-00430","11596600"
"5:18-cv-00149","8275863|9021070"
"1:17-cv-00322","5731296"
"2020-2054","7434015"
"6:17-cv-00065","D714595"
"2017-2111","7356677|6690400"
"2:17-cv-00052","7808483"
"0:12-cv-02529","8402580|8566982"
"1:17-cv-00533","6272533"
"2016-1181",""
"6:22-cv-01277",""
"8:21-cv-00309","8102331|RE36978|8462103"
"5:20-cv-03613","10452718|7689617|8024345|8626735"
"2:20-cv-00038","6447721|6737020|6403030"
"3:13-cv-00194","7113502|8300156|6934148|7752564|6473858|9521466"
"3:19-cv-08759","6289319"
"16-377","D842536|D825102|D744419"
"1:21-cv-01043","10702536|9763954|9206135|9750747|9643929|5753646|10695354|8372431|9566244|10912781|8732431|10675287"
"2:23-cv-00490",""
"1:21-cv-00753","8438314|6311231|6668286|7159043"
"1:17-cv-00776",""
"1:19-cv-00220","8284656"
"3:23-cv-06314","6569443|7056893|6159458|6861411|6239113"
"4:15-cv-00825","6611247"
"2010-1495","6252848|7103046|6763394|7107352|7719963"
"2019-2152","6430603|7382334|6005534|RE39470"
"2:20-cv-01322","5884282"
"1:16-cv-09668","5505464"
"2017-1551","7972728|7998617|7960058|7955733|7964308"
"2:22-cv-00073","6585516"
"12-1227","8204437|8437797|8594722"
"2:10-cv-00082","RE40613"
"2020-1690","6040531|6878885|8382482"
"8:22-cv-01073","844436|844435|865527"
"1:14-cv-00946","10368953"
"1:12-cv-01638","8252809|8242131"
"1:18-cv-10296","10528036|9658614|7515981"
"2:16-cv-02806",""
"1:11-cv-08539","7961843"
"1:13-cv-01800","7456168|7208489|6936612"
"2:12-cv-00216","7892012|7976329"
"6:12-cv-01003","7881861|8108141"
"1:17-cv-04852","6469035|6746691|6676967|6129930|6080428|6818229|7011848|6406715"
"2:12-cv-01738","7131542"
"2019-1295",""
"3:11-cv-00189","7024696"
"1:11-cv-07691","9208439|7167871|7043475|9137190|8606781|8489599|8732584"
"4:14-cv-02284","6222525|6906700"
"6:14-cv-00289","9516370"
"2:10-cv-01663","6850150|9521269|6002390|RE39231|8847734"
"2:11-cv-07408","6580228"
"6:21-cv-00603","5412577|7032508"
"6:22-cv-00523","6311231|6668286|7159043"
"1:20-cv-01617","6182219|6571334"
"2014-1738","5866363"
"6:23-cv-00626","8898821"
"6:15-cv-00213","5781788"
"2:21-cv-00160","7978862"
"1:12-cv-09104","9305143"
"1:13-cv-03542","7161319"
"1:13-cv-01184","4372058|4335530"
"337-TA-925","6340189"
"5:22-cv-00331","6192123"
"1:15-cv-08224","5949438|5796411|5828814"
"1:22-cv-01570","10368155"
"2:11-cv-00419","5954793"
"2:15-cv-02112","7124205"
"1:15-cv-09321","10808337|9131790"
"1:13-cv-10377","6346736|6387824|6967409|6602802|7279727|6709950|RE41980|6197696|7800165"
"7:21-cv-03003","7428707"
"23-1623","6633900"
"2:12-cv-05231","10472623"
"6:20-cv-00280","7460520"
"2:14-cv-00036","7456168|7208489|6936612"
"2016-1142","7216451"
"2:14-cv-00068","6065046"
"2:20-cv-00386","6971963|6685582|7364518"
"6:14-cv-00016","7827581|9344183"
"3:22-cv-00172","D694354|D705384|D738452"
"6:23-cv-00324","7934041|6425035"
"23-421","9084864"
"2:11-cv-08933","7765619"
"2:15-cv-00728","7144021"
"2:14-cv-05691","7682693"
"4:10-cv-05071","10234091"
"6:14-cv-00571","7299067"
"337-TA-1051","5743390"
"1:15-cv-00336","6708650"
"5:13-cv-00751","9549285"
"4:22-cv-05289","7114834"
"6:17-cv-00302","9369575|9173154|8861512|9591551"
"2:19-cv-00221","6026527"
"337-TA-986","6542078|6828909"
"337-TA-1091","5912895|6587473|6327264"
"4:20-cv-00395","7972022|7510290|7429117|7318652|6948823"
"2014-1761","11019372"
"2019-1664","6128617"
"2:15-cv-08663","7697492|7468661|7103511"
"2:11-cv-06377","6307576|6611278"
"2:13-cv-00182","6914054|7608597"
"2019-2000","8667559"
"5:14-cv-00199","5572576"
"2:12-cv-01243","7430471"
"2:22-cv-00018","8504746"
"1:18-cv-00872","RE40264|6017221|5711849"
"2:12-cv-00153","RE47368"
"3:23-cv-01369","8542815|9179005"
"3:10-cv-01249","6612985"
"1:23-cv-03167","D738991|D694357"
"2018-1010","5920410|5469440|6262997"
"3:13-cv-02496",""
"1:21-cv-03832","6372252"
"1:19-cv-02298","4804052|4815547"
"1:11-cv-04081","7896778"
"2021-1422","8772306|7851506|7668730|6780889|8461203|7895059|7765106|9050302|8731963|7765107|8263650|6472431|7262219|8324275|8859619|8457988|8952062|8589182"
"2017-1021","8706570|7779261|8161286|7287275|7409073|8307213|7813506|RE44307|5889868|7664264|7770017|8175330|8538011|8265278|8121343|9021602|9104842|7987371|7159116|7991188|7647502|7913087|7953981|RE44222|8473746|7095874"
"23-1597","9369575|9173154|8861512|9591551"
"8:18-cv-00453","6401078"
"1:18-cv-01128","5102403"
"11-597","8046801"
"1:16-cv-09201","7150442"
"0:13-cv-02980","RE40081"
"6:21-cv-00144","RE40799"
"3:12-cv-01107","6532708"
"2:10-cv-00506",""
"2:14-cv-00947","7176211|7419983|10682351|10537572|7056927|11344551"
"1:16-cv-00074","6671757|7587446|6757696"
"19-2011","8688990|4819267|8375212|4609777|9710635|4599489"
"2:17-cv-02641",""
"2:14-cv-00938","7917285"
"1:17-cv-00397","10066808"
"2:13-cv-00921","7938300"
"1:13-cv-00071","7251850|D584466"
"1:15-cv-01074","7098896|6286064|7453439|7750891|7075520"
"3:13-cv-02894","6630937"
"2018-2255",""
"2:11-cv-02541","7379981|8700749|8855019"
"2018-2115","6697385"
"1:18-cv-11631","7606843|8239347"
"2:15-cv-01925","D312400"
"6:21-cv-01029","8418303|9550294|8950038|10045676|9921586|9492048"
"6:13-cv-00278","6038295"
"2:15-cv-00944","5874471"
"2:11-cv-00028","9415130"
"1:11-cv-00789","10045568|10070669|10076139|10058130"
"1:21-cv-00511","8229810"
"1:16-cv-03927","10562077"
"22-1627","8802735|9186346"
"1:17-cv-00915","6052408"
"23-1425","6744653"
"4:10-cv-01149","8143848"
"2:23-cv-00158","8424752|8651369|8936190"
"3:17-cv-00185","7319740|7555104|7003082"
"0:20-cv-62292","6975998|7400970|6904359|7030781"
"6:20-cv-00545","5347579"
"2:18-cv-00231","6115817"
"2021-1001","6442261"
"1:18-cv-00181","6049835"
"3:17-cv-00650","6411512"
"1:11-cv-01036","5844596|6542585|6243446"
"3:15-cv-00221","9211553|6820824|8002200|7374111|8628026|8955770|8424780"
"5:14-cv-01259","6917304"
"2:16-cv-01230","7660700|7346472|8214175|7949494|8712728"
"2013-1522","6620653|6717210|6667515|6936893|6617641|6765239"
"2022-1871","7418917|D555070|7441510"
"4:21-cv-07558","5504909"
"2:15-cv-00250","D728900|D859788"
"2:16-cv-00239","8202908"
"1:18-cv-22846","9564952"
"6:23-cv-00147","10514832"
"2019-2227","20150242818"
"2019-1364",""
"2:15-cv-01476","D648772|D583404|D664590|D700933|D415188|D640725|D565088|D620970|D425103|5638145|D564572|D616919|D573172|D610604"
"1:15-cv-01120","6585516"
"2013-1186","9173942"
"3:12-cv-00101","6434622|8539237|7266686"
"6:15-cv-00222","10855087|10951042|9413187"
"23-2107","7967465|8089370|8077052|7336157|7429827|7196477|8104914"
"3:10-cv-00403","9456086|7023979|10491748|7269253|10237420"
"2:15-cv-00866","7772209"
"6:23-cv-00486","8295862"
"2:11-cv-12414","D838859"
"1:13-cv-00513","5893071"
"1:15-cv-00274","7495895"
"5:10-cv-04549","6361186"
"6:17-cv-00590","6980101"
"2:14-cv-01124","D591321|D610600"
"3:17-cv-05399","5712298|8604064|8618142|8536206"
"2022-1221","RE42219"
"2019-2265","7690148|6327812"
"6:18-cv-00234","D847897"
"1:14-cv-00953","7151027|7018922|6369416|6900124|6731536|6459625"
"2:15-cv-01465","7200613|7791741"
"2:13-cv-00286","7441196"
"2:15-cv-00546","7030781|6952645|7400970|6714859|6904359|6486801"
"2:15-cv-03326","5974451"
"4:12-cv-03573",""
"1:20-cv-00061","6868150"
"4:20-cv-03182","9852435|8676668"
"1:14-cv-00506","8726528|D672504"
"8:19-cv-00922",""
"1:15-cv-00648","6466236|7664485|6173316|6950645|6928300"
"2:12-cv-00561","7686250"
"2:16-cv-01093","8976947"
"6:16-cv-00465","10507407|10814248"
"4:10-cv-00435","11381285|10389568|11223508|9768842|10200227|11252005|11075786|11424792"
"2:20-cv-00534","4930158|4930160"
"1:23-cv-00810","8964708|6914893|7103511"
"1:12-cv-01403","7116963|5937341|7606542|7853225|6631256|7606549"
"5:14-cv-01155","5703887|5511082|5621761|5511096|5745522"
"5:19-cv-02871","7943788"
"2018-2354","8056351"
"2:22-cv-00554","7181237"
"2018-2027","D842536|D858868|D858869|D858870"
"2012-1545","7935109"
"1:19-cv-05328","6839731|8239481"
"1:19-cv-22701","8473532"
"8:11-cv-00783","7754042|7824748|7771554|RE41623|6667093|6884311|7766475|7749581"
"2:12-cv-00441",""
"5:11-cv-00615",""
"1:16-cv-00954","6630672"
"2:13-cv-00037","RE42219"
"8:20-cv-00195","8763907|7963446|8733657"
"1:21-cv-00412","6867392|9215892|9107422|8728555|9504258|9510610|9445689|6622513|6675589|6780448|8646383|9220276|8857621|9345252|9980498|13207065"
"1:22-cv-03417","7729530"
"1:12-cv-00610","8858996|8852636"
"20-1284","6643765"
"1:19-cv-00979","7483783|7191053"
"20-2238","7503502|6298332|7703686"
"1:21-cv-01167","6636803"
"2019-1450","8239481"
"1:15-cv-11362","7827581|9344183"
"6:12-cv-00770","5659680"
"2:13-cv-03628","5889052|6011062|5631287|5510383|5849792"
"1:17-cv-05428","D624901|7681577"
"3:10-cv-00508","6110940"
"3:18-cv-00370","5987058|4977577"
"1:14-cv-01334","5930474"
"1:21-cv-00099","6684189"
"2:15-cv-00395","7944469|6839731|8239481"
"2:16-cv-01167","9786140"
"1:14-cv-00225","6952645|6714859|6904359|7191058"
"5:21-cv-08534","6894051"
"1:20-cv-05519","8218481|7746916|7809373|7881236|7768965"
"2:20-cv-00142",""
"2:19-cv-22231","8195569"
"1:21-cv-00968","7497777|8078540|8112670|8095990|7664988|7338363"
"4:17-cv-05940","10339576|9477665|9501480"
"2:13-cv-04655","7257158"
"2:15-cv-01619","10800024"
"1:21-cv-03705","7399865"
"4:20-cv-00660","D570760|D542211"
"2:20-cv-05212","5005319|4897965|4807399"
"3:12-cv-01653","8954251|9217380|10436125|8682558|8437935|9830821|8315769"
"1:20-cv-00318","9182027"
"2020-1045","6199076|7509178"
"1:20-cv-01165","8424119|8453270|D657093"
"2:12-cv-01466","8628210|8414142"
"2015-1549","7069447"
"2016-1112","9696847"
"2:16-cv-02372","5843344"
"2:13-cv-00368","10525191"
"1:15-cv-00490","4809359"
"2016-1794","8099420|6928442|7945544|7802310"
"2:15-cv-00764","5930444"
"2:15-cv-07042","6006231"
"1:20-cv-01125","8112504"
"2019-1604","7149511"
"2:10-cv-00616","D901870"
"2:12-cv-00210","6985748"
"8:17-cv-01832","8316237|7587368|8904181"
"1:17-cv-00393","7916781|7421032|7116710"
"6:19-cv-00580","5828837"
"2:21-cv-00799","7326708"
"2:15-cv-01563","6516147|7733368|8073250"
"1:20-cv-03486","8195569"
"2:13-cv-02221","7490743"
"1:10-cv-08472",""
"2:21-cv-02320","9888435|8270354|10057095|10090894|9900067|8971168|8320571|9265063|9432940|10080204|9204438|10009884|9634746|8593936|10075946|10045256|9144064|8320337|8320565|8654881|8761814|9496976|9603174|9155066|8311031"
"2:18-cv-00500","D643554|D644360|D644359"
"2:15-cv-01524","5910763|6169476"
"1:21-cv-00087","6706175"
"6:12-cv-00267","8540159"
"2016-1268","6374229"
"1:13-cv-01859","7835421"
"8:10-cv-03005",""
"2014-1690","6633282"
"1:12-cv-01489",""
"8:20-cv-00543","4167204|1663498"
"2:15-cv-00078","9261365"
"6:15-cv-00985","8536130|8309060|RE39593|8075872|8420056|7994364|8114383"
"2:14-cv-00974","9149626|8414539|8333735|8545454|8328762|8337463|8460247|8597249|8444605|8540728"
"1:22-cv-02581","7286158"
"1:11-cv-10619","7091683"
"2018-1304","6754400"
"2:21-cv-07491","6397622"
"3:14-cv-00548","6175655"
"3:12-cv-05601","9022852"
"2016-1045","6646006|5891459"
"1:15-cv-00050","5388198"
"6:15-cv-00359","6697812"
"3:15-cv-00947","8024084|6823244|8019501|7650210|7082359|7630802|8036788|6738697"
"2:22-cv-00286","4813056"
"1:17-cv-10874","7546928|7967158"
"2:21-cv-00094","5579222"
"8:11-cv-01096","D798091"
"5:13-cv-00111","6480753"
"4:16-cv-00844","7627991"
"2:21-cv-02352","8402281|6321201"
"2:13-cv-00185","D853642"
"1:15-cv-20109","7590466|7123986|7840443|6836699"
"2:16-cv-01144","9332572|9420573|9380607|8532052|8457061"
"1:10-cv-03918","7505243"
"1:15-cv-00595","7567622|7154961"
"3:16-cv-01804","7346472|8214175|7660700|7949494"
"2:17-cv-13476","8017150|8475832"
"2:12-cv-00577","8590940|7950698"
"4:22-cv-11906","7681124|7716579"
"2:19-cv-18566","6374229"
"1:14-cv-01309","6868079"
"2:16-cv-01377","6972790|8537242|6473527"
"2:12-cv-03626","5754946|5809428"
"1:03-cv-01712",""
"6:13-cv-00610","8347449"
"1:19-cv-01857","RE44006|7529806|6690387|7184064|RE43564|5910797|8543819|6772114|RE44913|6522695"
"2:18-cv-01075","9125079"
"2:16-cv-00642","D747539"
"2:16-cv-02464","8479246|8468099"
"6:20-cv-01076","9763954|9206135|9750747|9643929|8372431|9566244"
"1:14-cv-01105",""
"2:21-cv-06136","7821504|7821505"
"3:20-cv-01011","7221387"
"337-TA-894","5911140"
"2:17-cv-08934","7196322|8314481|8004602|6876544"
"2:20-cv-11177","8068206|7525633|7535547"
"1:15-cv-00789","8402109"
"20-1552","7225334"
"2:17-cv-00237",""
"2017-2109","7959118|7959119"
"1:17-cv-02076","6641523|6641522|5318503|5599274"
"1:17-cv-01290","D769060"
"22-1579","8424752|8651369|8936190"
"2:20-cv-00404","7917285"
"2017-1938","7064197|6992180"
"2017-1172","6324463"
"4:16-cv-00245","9839637|8349840|RE48059|7888362|8618109"
"3:12-cv-02099",""
"2:10-cv-10769","7018304|6652390"
"3:10-cv-00507","5579222"
"2020-1034","8111629"
"3:18-cv-00614",""
"1:11-cv-07189","6216139"
"1:19-cv-01075","11273547"
"1:18-cv-00894","8202908"
"1:12-cv-00240","7567622|7154961"
"3:15-cv-02521","5751346"
"1:17-cv-01244","8971279|7979070|7869396"
"22-1871","5251294"
"1:17-cv-01587","7734251|7797717|7860131|7908638"
"6:22-cv-00038","5412730"
"7:21-cv-09308","8914526|9961097"
"1:17-cv-10386","5388198"
"1:14-cv-00537","8669290|8129431|8754131"
"1:11-cv-00487","8598218|8518981"
"6:21-cv-00597","8260629|8429093"
"2:10-cv-01694","10027751|7720929|7617537|8386581|9715893"
"3:17-cv-00027","7346935"
"1:19-cv-00604","8065527"
"6:20-cv-06299","8904929|8490545"
"1:22-cv-00242","5572576"
"1:19-cv-04653","6882627|5856981"
"8:19-cv-00846","1636688"
"6:22-cv-00231","5817364"
"6:12-cv-01021","8626530"
"4:20-cv-00234",""
"6:15-cv-00026","5975728"
"6:10-cv-00246","5532372"
"1:19-cv-02329","7238396"
"2:17-cv-00978","8505079|8533802"
"22-1137","5740724|5970856"
"2:16-cv-01370","9241082|9232088|9560293"
"2015-1716","7944342"
"1:19-cv-02131","9237489"
"2:18-cv-16395","8397177"
"1:12-cv-03133","7652988"
"1:12-cv-00690","6626800"
"2:17-cv-00329","6881111"
"6:20-cv-00662","9696847"
"2021-1018","8028491"
"1:13-cv-00422","11308298"
"337-TA-1287","6128415"
"2:12-cv-01549","7809866"
"2022-1090","8146077|6384850|6871325"
"1:17-cv-04952","6147567|7035607|6137372|6965761|8198940|6388536|6308055|8244279|6304146|7362178|7200364|6233441|7778613"
"5:20-cv-04448","7894837|7292870"
"2:17-cv-00575","D618132"
"1:18-cv-05075","RE37564|RE37838|RE38253"
"3:14-cv-00685","D744723|D698120"
"1:20-cv-03586","5434562|6212635"
"3:22-cv-03199","7579965"
"6:20-cv-06447","9550780|9814708|9296739|9233959|8524733"
"6:15-cv-00044","D642743"
"6:15-cv-00959","7031657"
"2014-1764","9603992|9603993|8025639"
"1:11-cv-00065","5845070"
"6:21-cv-00090","7555922"
"3:18-cv-01542","RE43324|5790798|7774854|6510220|RE43386"
"1:13-cv-01046","6233682"
"1:17-cv-01214","9301587"
"8:18-cv-00852","5963642"
"2:19-cv-00742","7385982"
"3:13-cv-00781","6857074|7895313|7934148|7895306|7836141"
"3:11-cv-02543","8812454|8018852|8165024|7450507|7877786"
"2017-1940","6066584"
"2:18-cv-00489","D804070|9534752"
"2:15-cv-00376","9591104"
"1:20-cv-01006","D644809|D663091|D656700|D680704|D648914|D660542|D656288"
"3:16-cv-00553","9466078"
"1:15-cv-02391","6701365|6108704|6131121|6513066|6009469"
"1:19-cv-00977","6865268"
"5:11-cv-00066","7149989|7260803"
"1:13-cv-00784","7047196"
"2:15-cv-01433","6656023|6541381|7156717|6551933"
"5:17-cv-00085","7227899|7848328|7590991"
"2:12-cv-08579","8571194"
"6:13-cv-00947","8966144|8504746"
"6:13-cv-01208","10262009|10402447|10013435|9928275"
"5:11-cv-00183","D926950|D919777|11278153|D956193"
"2017-1797","7346417"
"2:13-cv-01156","6611247"
"2:15-cv-00998","8856221"
"22-1785","5841115"
"1:12-cv-01085","7547289"
"1:17-cv-00546","5913180"
"6:23-cv-00866","6930949|7279353|6845053|7021520|6570791|6765276"
"2020-1784","8108492|8037158|5987500"
"3:19-cv-02872",""
"3:12-cv-03878","8240726"
"2:13-cv-00583","7749532"
"6:13-cv-00734","9532267"
"2021-1060","6219710|6094676"
"1:18-cv-01773","6553336|6243654"
"1:15-cv-00306","7135435"
"1:12-cv-03980","D763594|D728249|D722793"
"2012-1125","8756845"
"1:14-cv-00123","10262395"
"2:15-cv-00471","8548071"
"5:15-cv-04214","8044942"
"2:11-cv-00361","9114271"
"6:21-cv-00230","6417833|5966589|5850275|7460190|6211534|6909053|6734927|5995176|5870163"
"6:21-cv-00862","6047223"
"22-38","7782607"
"23-1401","9916782|9349306"
"1:10-cv-00720","6857074|7895313|7934148|7895306|7836141"
"3:18-cv-01025","6950318"
"4:17-cv-00186","10115292"
"3:18-cv-02919","7871221"
"1:13-cv-20824","8572571|11210082|9940124"
"3:22-cv-01527","6242003"
"2014-1063","8015495|6772229"
"1:22-cv-01142","7568480"
"337-TA-1104","5592555|5608873|5771394|5502689|5530597"
"1:10-cv-02103","6415325|7317687|7096033|6148080|6094648|6879838"
"6:22-cv-00205","8778962|8410131|8436010|9006224"
"1:12-cv-00668","9806669|9970686"
"2015-1780","7621864|6638211"
"1:19-cv-01775","5714504|7745466|6926907|7411070|6875872|6369085"
"6:14-cv-00413","5839108"
"6:12-cv-00405","RE43904"
"2016-1311","7449458|8263122|8771648|8951504|8652492"
"6:20-cv-01301","9601640|10692971|10269995|8852981|8450599|9768331"
"1:20-cv-00853","7933951|7310686"
"2:17-cv-00754","D915770"
"1:23-cv-00474","9531473"
"2014-1166","9449484"
"3:13-cv-01025","9248191|8633162|8648048|8642556|8685930|8629111"
"3:19-cv-06352","6330549"
"2:17-cv-00119","7869396"
